country,full_name,url,capital,region,sub_region,area,population,lat,long,flag
Ukraine,Ukraine,country/ukraine/,Kiev,Europe,Eastern Europe,603700,42692393,49,32,https://restcountries.eu/data/ukr.svg
Uruguay,Uruguay,country/uruguay/,Montevideo,Americas,South America,181034,3480222,-33,-56,https://restcountries.eu/data/ury.svg
USA,United States of America,country/us/,"Washington, D.C.",Americas,Northern America,9629091,328239523,38,-97,https://restcountries.eu/data/usa.svg
Uzbekistan,Uzbekistan,country/uzbekistan/,Tashkent,Asia,Central Asia,447400,31576400,41,64,https://restcountries.eu/data/uzb.svg
Vatican City,Vatican City State,country/holy-see/,Vatican City,Europe,Southern Europe,49000,825,,,
Venezuela,Venezuela (Bolivarian Republic of),country/venezuela/,Caracas,Americas,South America,916445,31028700,8,-66,https://restcountries.eu/data/ven.svg
Vietnam,Viet Nam,country/viet-nam/,Hanoi,Asia,South-Eastern Asia,331212,92700000,16.16666666,107.8333333,https://restcountries.eu/data/vnm.svg
Western Sahara,Western Sahara,country/western-sahara/,El Aaiún,Africa,Northern Africa,266000,510713,24.5,-13,https://restcountries.eu/data/esh.svg
Yemen,Yemen,country/yemen/,Sana'a,Asia,Western Asia,527968,27478000,15,48,https://restcountries.eu/data/yem.svg
Zambia,Zambia,country/zambia/,Lusaka,Africa,Eastern Africa,752612,15933883,-15,30,https://restcountries.eu/data/zmb.svg
Zimbabwe,Zimbabwe,country/zimbabwe/,Harare,Africa,Eastern Africa,390757,14240168,-20,30,https://restcountries.eu/data/zwe.svg
